appid,name,price,currency,genres,release_date,steam_review_score
10,Counter-Strike,20.69,BRL,Action,"1 Nov, 2000",88
30,Day of Defeat,16.99,BRL,Action,"1 May, 2003",79
70,Half-Life,20.69,BRL,Action,"19 Nov, 1998",96
80,Counter-Strike: Condition Zero,20.69,BRL,Action,"1 Mar, 2004",65
100,Counter-Strike: Condition Zero,20.69,BRL,Action,"1 Mar, 2004",65
130,Half-Life: Blue Shift,16.99,BRL,Action,"1 Jun, 2001",71
219,Half-Life 2: Demo,,,Action,"1 Dec, 2004",96
220,Half-Life 2,9.99,USD,Action,"Nov 16, 2004",96
240,Counter-Strike: Source,10.0,SGD,Action,"1 Nov, 2004",88
300,Day of Defeat: Source,32.99,BRL,Action,"12 Jul, 2010",80
380,Half-Life 2: Episode One,,,Action,"1 Jun, 2006",87
400,Portal,32.99,BRL,Action,"10 Oct, 2007",90
410,Portal: First Slice,,,Action,"8 May, 2008",90
420,Half-Life 2: Episode Two,,,Action,"10 Oct, 2007",90
440,Team Fortress 2,,,"Action, Free To Play","10 Oct, 2007",92
500,Left 4 Dead,9.99,USD,Action,"Nov 17, 2008",89
550,Left 4 Dead 2,9.99,USD,Action,"Nov 16, 2009",89
570,Dota 2,,,"Action, Strategy, Free To Play","9 Jul, 2013",90
620,Portal 2,32.99,BRL,"Action, Adventure","18 Apr, 2011",95
630,Alien Swarm,,,"Action, Free To Play","19 Jul, 2010",77
659,Portal 2,32.99,BRL,"Action, Adventure","18 Apr, 2011",95
1002,Rag Doll Kung Fu,2.29,BRL,Indie,"12 Oct, 2005",69
1003,Rag Doll Kung Fu Demo,,,Indie,"12 Oct, 2005",69
1200,Red Orchestra: Ostfront 41-45,10.89,BRL,Action,"14 Mar, 2006",81
3800,Advent Rising,9.99,USD,Action,"Sep 14, 2006",70
3900,Sid Meier's Civilization® IV,4.99,EUR,Strategy,"25 Oct, 2006",94
3910,Sid Meier's Civilization® III Complete,4.99,EUR,Strategy,"25 Oct, 2006",90
7000,Tomb Raider: Legend,0.97,EUR,"Action, Adventure","29 Mar, 2007",82
7890,Men of War™ Demo,,,Strategy,"8 May, 2009",80
8080,Kane and Lynch: Dead Men™,,,Action,"Dec 13, 2007",67
8100,Conflict: Denied Ops,5.99,USD,Action,"Feb 8, 2008",58
8930,Sid Meier's Civilization® V,7.49,EUR,Strategy,"23 Sep, 2010",90
8980,Borderlands Game of the Year,29.99,EUR,"Action, RPG","31 Aug, 2023",81
9480,Saints Row 2,9.99,USD,Action,"Jan 7, 2009",72
10150,Prototype™,109.9,BRL,"Action, Adventure","12 Jun, 2009",79
10170,Wolfenstein™,,,Action,"19 Aug, 2009",74
10180,Call of Duty®: Modern Warfare® 2 (2009),109.9,BRL,Action,"11 Nov, 2009",86
10190,Call of Duty®: Modern Warfare® 2 (2009),109.9,BRL,Action,"11 Nov, 2009",86
10220,Postal III,20.49,BRL,Action,"17 Feb, 2012",24
10460,The Club™,27.99,BRL,Action,"20 Feb, 2008",67
10500,Total War: EMPIRE – Definitive Edition,84.99,BRL,Strategy,"4 Mar, 2009",90
10620,Empire: Total War™ Demo,,,Strategy,"20 Feb, 2009",90
10680,Aliens vs. Predator™,27.99,BRL,Action,"16 Feb, 2010",68
10690,Virtua Tennis 2009,,,"Simulation, Sports","3 Jul, 2009",68
11000,Loki Demo - Norse Warrior,,,RPG,"5 Oct, 2007",61
11040,Sherlock Holmes - Nemesis,37.0,BRL,"Adventure, RPG","7 Aug, 2008",71
11050,Dracula: Origin,37.0,BRL,"Adventure, Casual","7 Aug, 2008",70
11080,Sherlock Holmes - Nemesis Demo,,,Adventure,"7 Aug, 2008",71
11090,Dracula Origin Demo,,,Adventure,"7 Aug, 2008",70
