appid,name,price,currency,genres,release_date,steam_review_score,release_year
10,Counter-Strike,20.69,BRL,Action,2000-11-01,88,2000
30,Day of Defeat,16.99,BRL,Action,2003-05-01,79,2003
70,Half-Life,20.69,BRL,Action,1998-11-19,96,1998
80,Counter-Strike: Condition Zero,20.69,BRL,Action,2004-03-01,65,2004
100,Counter-Strike: Condition Zero,20.69,BRL,Action,2004-03-01,65,2004
130,Half-Life: Blue Shift,16.99,BRL,Action,2001-06-01,71,2001
219,Half-Life 2: Demo,0.0,,Action,2004-12-01,96,2004
240,Counter-Strike: Source,10.0,SGD,Action,2004-11-01,88,2004
300,Day of Defeat: Source,32.99,BRL,Action,2010-07-12,80,2010
380,Half-Life 2: Episode One,0.0,,Action,2006-06-01,87,2006
400,Portal,32.99,BRL,Action,2007-10-10,90,2007
410,Portal: First Slice,0.0,,Action,2008-05-08,90,2008
420,Half-Life 2: Episode Two,0.0,,Action,2007-10-10,90,2007
440,Team Fortress 2,0.0,,"Action, Free To Play",2007-10-10,92,2007
570,Dota 2,0.0,,"Action, Strategy, Free To Play",2013-07-09,90,2013
620,Portal 2,32.99,BRL,"Action, Adventure",2011-04-18,95,2011
630,Alien Swarm,0.0,,"Action, Free To Play",2010-07-19,77,2010
659,Portal 2,32.99,BRL,"Action, Adventure",2011-04-18,95,2011
1002,Rag Doll Kung Fu,2.29,BRL,Indie,2005-10-12,69,2005
1003,Rag Doll Kung Fu Demo,0.0,,Indie,2005-10-12,69,2005
1200,Red Orchestra: Ostfront 41-45,10.89,BRL,Action,2006-03-14,81,2006
3900,Sid Meier's Civilization® IV,4.99,EUR,Strategy,2006-10-25,94,2006
3910,Sid Meier's Civilization® III Complete,4.99,EUR,Strategy,2006-10-25,90,2006
7000,Tomb Raider: Legend,0.97,EUR,"Action, Adventure",2007-03-29,82,2007
7890,Men of War™ Demo,0.0,,Strategy,2009-05-08,80,2009
8930,Sid Meier's Civilization® V,7.49,EUR,Strategy,2010-09-23,90,2010
8980,Borderlands Game of the Year,29.99,EUR,"Action, RPG",2023-08-31,81,2023
10150,Prototype™,109.9,BRL,"Action, Adventure",2009-06-12,79,2009
10170,Wolfenstein™,0.0,,Action,2009-08-19,74,2009
10180,Call of Duty®: Modern Warfare® 2 (2009),109.9,BRL,Action,2009-11-11,86,2009
10190,Call of Duty®: Modern Warfare® 2 (2009),109.9,BRL,Action,2009-11-11,86,2009
10220,Postal III,20.49,BRL,Action,2012-02-17,24,2012
10460,The Club™,27.99,BRL,Action,2008-02-20,67,2008
10500,Total War: EMPIRE – Definitive Edition,84.99,BRL,Strategy,2009-03-04,90,2009
10620,Empire: Total War™ Demo,0.0,,Strategy,2009-02-20,90,2009
10680,Aliens vs. Predator™,27.99,BRL,Action,2010-02-16,68,2010
10690,Virtua Tennis 2009,0.0,,"Simulation, Sports",2009-07-03,68,2009
11000,Loki Demo - Norse Warrior,0.0,,RPG,2007-10-05,61,2007
11040,Sherlock Holmes - Nemesis,37.0,BRL,"Adventure, RPG",2008-08-07,71,2008
11050,Dracula: Origin,37.0,BRL,"Adventure, Casual",2008-08-07,70,2008
11080,Sherlock Holmes - Nemesis Demo,0.0,,Adventure,2008-08-07,71,2008
11090,Dracula Origin Demo,0.0,,Adventure,2008-08-07,70,2008
11130,Sherlock Holmes: The Mystery of the Mummy,0.0,,Adventure,2009-08-06,61,2009
11140,Sherlock Holmes: The Awakened (2008),37.0,BRL,Adventure,2009-08-06,72,2009
11150,Sherlock Holmes: The Silver Earring,37.0,BRL,Adventure,2009-08-06,68,2009
11190,Sherlock Holmes versus Jack the Ripper,37.0,BRL,"Adventure, RPG",2009-12-23,73,2009
11200,Shadowgrounds Survivor,19.99,BRL,Action,2007-11-14,79,2007
11220,Shadowgrounds Survivor Demo,0.0,,Action,2008-02-15,79,2008
11250,Pacific Storm,26.49,BRL,"Simulation, Strategy",2008-06-24,67,2008
11260,Pacific Storm Allies,26.49,BRL,"Simulation, Strategy",2008-08-18,60,2008
11340,Larva Mortus,16.99,BRL,"Action, Indie",2009-03-19,64,2009
11370,Nikopol: Secrets of the Immortals,16.99,BRL,"Adventure, Indie",2009-07-30,68,2009
11450,Overlord™,8.49,BRL,RPG,2007-10-26,81,2007
11470,Overlord™ Demo,0.0,,RPG,2007-10-26,81,2007
11480,Soldiers: Heroes of World War II - Enhanced Edition,16.99,BRL,Strategy,2014-07-03,77,2014
11550,Second Sight,20.69,BRL,Action,2021-04-08,73,2021
12130,Manhunt,14.99,BRL,Action,2011-01-06,75,2011
12150,Max Payne 2: The Fall of Max Payne,14.99,BRL,Action,2008-01-04,86,2008
12200,Bully: Scholarship Edition,39.99,BRL,"Action, Adventure",2010-12-23,72,2010
12210,Grand Theft Auto IV: The Complete Edition,79.0,BRL,"Action, Adventure",2020-03-24,90,2020
12310,Culpa Innata,19.99,BRL,"Adventure, Casual, RPG",2008-01-18,66,2008
12320,Sacred Gold,4.99,BRL,"Action, RPG",2008-07-09,74,2008
12330,Darkstar One,29.99,BRL,Action,2008-02-13,71,2008
12400,"Bill ""Spaceman"" Lee Baseball Mogul 2009",0.0,,Sports,2008-10-23,65,2008
12420,Perimeter 2: New Earth,4.09,BRL,Strategy,2009-02-10,43,2009
12470,Port Royale 2,20.49,BRL,Strategy,2009-06-16,75,2009
12500,PuzzleQuest: Challenge of the Warlords,19.99,BRL,Casual,2008-01-29,84,2008
12640,Drakensang,16.99,BRL,RPG,2009-03-09,75,2009
12810,Overlord II,16.99,BRL,RPG,2009-06-23,79,2009
12890,Operation Flashpoint: Dragon Rising Demo,0.0,,Action,2009-11-16,76,2009
12900,AudioSurf,32.99,BRL,Indie,2008-02-15,85,2008
12910,AudioSurf Demo,0.0,,Indie,2008-02-15,85,2008
13000,Ninja Reflex: Steamworks Edition,8.49,BRL,"Casual, Indie",2008-03-21,57,2008
13010,Ninja Reflex Demo,0.0,,"Indie, Casual",2008-03-21,57,2008
13140,America's Army 3,0.0,,Action,2009-06-17,70,2009
13500,Prince of Persia: Warrior Within™,29.99,BRL,"Action, Adventure",2008-11-21,83,2008
13510,Tom Clancy's Ghost Recon Advanced Warfighter® 2,0.0,,Action,2008-07-15,76,2008
13520,Far Cry®,8.99,BRL,Action,2008-04-01,89,2008
13530,Prince of Persia: The Two Thrones™,5.99,BRL,"Action, Adventure",2008-11-21,85,2008
13540,Tom Clancy's Rainbow Six® Vegas,29.99,BRL,Action,2008-04-09,85,2008
13560,Tom Clancy's Splinter Cell®,49.99,BRL,Action,2008-04-01,91,2008
13570,Tom Clancy's Splinter Cell Chaos Theory®,29.99,BRL,Action,2009-08-27,92,2009
13580,Tom Clancy's Splinter Cell Double Agent®,29.99,BRL,Action,2009-02-13,80,2009
13600,Prince of Persia®: The Sands of Time,5.99,BRL,"Action, Adventure",2008-11-21,89,2008
13620,Tom Clancy's Ghost Recon® Desert Siege™,9.99,BRL,Action,2008-07-15,82,2008
13630,Tom Clancy's Ghost Recon® Island Thunder™,9.99,BRL,Action,2008-07-15,82,2008
13640,Tom Clancy's Ghost Recon Advanced Warfighter®,0.0,,Action,2008-07-15,80,2008
15000,Tom Clancy's Rainbow Six Lockdown™,29.99,BRL,Action,2008-05-13,59,2008
15080,Rayman Raving Rabbids™,29.99,BRL,"Action, Adventure",2008-06-13,58,2008
15100,Assassin's Creed™: Director's Cut Edition,59.99,BRL,"Action, Adventure",2008-04-09,79,2008
15120,Tom Clancy's Rainbow Six® Vegas 2,29.99,BRL,Action,2008-04-16,78,2008
15130,Beyond Good and Evil™,0.0,,"Action, Adventure",2008-05-13,83,2008
15170,Heroes of Might & Magic V,29.99,BRL,Strategy,2008-05-13,77,2008
15190,Brothers in Arms: Road to Hill 30™,29.99,BRL,Action,2008-05-13,87,2008
15200,Silent Hunter®: Wolves of the Pacific,29.99,BRL,Simulation,2008-06-13,79,2008
15210,Silent Hunter® III,29.99,BRL,Simulation,2008-06-13,90,2008
15220,Blazing Angels® Squadrons of WWII,0.0,,"Action, Simulation",2008-05-13,65,2008
17410,Mirror's Edge™,29.99,CAD,"Action, Adventure",2009-01-14,81,2009
19680,Alice: Madness Returns,14.99,CAD,"Action, Adventure",2011-06-17,75,2011
25600,Eschalon: Book I,0.0,,"Indie, RPG",2009-02-10,75,2009
25610,Eschalon: Book I Demo,0.0,,RPG,2009-02-11,75,2009
25700,Madballs in Babo:Invasion,10.49,BRL,"Action, Casual, Indie",2009-09-17,79,2009
25710,Madballs Demo,0.0,,"Action, Casual, Indie",2009-09-17,79,2009
25800,Europa Universalis III Complete,53.99,BRL,Strategy,2009-02-04,83,2009
25808,Europa Universalis III: Divine Wind,35.99,BRL,Strategy,2011-01-21,71,2011
25830,Knights of Honor,35.99,BRL,Strategy,2009-02-04,77,2009
25850,Elven Legacy,16.99,BRL,"RPG, Strategy",2009-04-07,71,2009
25860,Sword of the Stars: Complete Collection,35.99,BRL,Strategy,2010-06-04,75,2010
25890,Hearts of Iron III,35.99,BRL,Strategy,2009-08-07,77,2009
25900,King's Bounty: The Legend,23.5,BRL,"RPG, Strategy",2009-05-01,79,2009
25910,Supreme Ruler 2020 Gold,7.99,BRL,Strategy,2009-07-09,65,2009
25930,East India Company,24.99,BRL,Strategy,2009-07-31,67,2009
25980,Majesty 2,35.99,BRL,"Simulation, Strategy",2009-09-17,72,2009
26000,The Maw,16.99,BRL,"Action, Indie",2009-03-09,75,2009
26010,The Maw Demo,0.0,,Indie,2009-03-13,75,2009
26500,Cogs,12.39,BRL,"Casual, Indie",2009-04-14,73,2009
26510,Cogs Demo,0.0,,"Strategy, Indie, Casual",2009-04-14,73,2009
26800,Braid,27.99,BRL,"Casual, Indie, Strategy",2009-04-10,90,2009
26810,Braid Demo,0.0,,"Strategy, Indie",2009-04-11,90,2009
26900,Crayon Physics Deluxe,34.99,BRL,"Casual, Indie",2009-05-06,79,2009
26910,Crayon Physics Deluxe Demo,0.0,,"Indie, Casual",2009-05-06,79,2009
27000,The Path,19.99,BRL,"Adventure, Indie",2009-03-18,79,2009
27040,The Path - Prologue,0.0,,"Indie, Adventure",2009-06-08,79,2009
27400,Dangerous High School Girls in Trouble!™,34.99,BRL,"RPG, Indie, Casual",2009-02-23,81,2009
27610,Mevo and The Grooveriders Demo,0.0,,"Indie, Casual",2009-03-19,72,2009
28000,Kane & Lynch 2: Dog Days,16.99,BRL,Action,2010-08-17,66,2010
28020,Kane & Lynch 2 Demo,0.0,,Action,2010-07-26,66,2010
29160,Blueberry Garden,16.99,BRL,"Adventure, Indie",2009-06-10,68,2009
29180,Osmos,20.69,BRL,"Casual, Indie",2009-08-18,80,2009
29200,Osmos Demo,0.0,,"Indie, Casual",2009-08-18,80,2009
29640,Aion<sup>®</sup>: Assault on Balaurea™,0.0,,Massively Multiplayer,2009-09-22,76,2009
29900,Dark Sector,16.99,BRL,Action,2009-03-24,66,2009
31120,"Wallace & Gromit’s Grand Adventures, Episode 3: Muzzled!",0.0,,Adventure,2009-06-15,75,2009
31130,"Wallace & Gromit’s Grand Adventures, Episode 4: The Bogey Man",0.0,,Adventure,2009-07-30,72,2009
31170,Tales of Monkey Island: Complete Season,50.0,BRL,"Adventure, RPG",2009-07-07,79,2009
31270,Puzzle Agent,19.99,BRL,"Action, Adventure, Casual",2010-07-07,70,2010
31280,Poker Night at the Inventory,0.0,,"Casual, Sports",2010-11-22,71,2010
31290,Back to the Future: The Game,0.0,,Adventure,2010-12-23,74,2010
31300,Tunnel Rats,34.99,BRL,Action,2009-05-15,30,2009
31700,Iron Grip: Warlord,0.0,,"Action, Indie",2008-12-05,59,2008
31710,Iron Grip Warlord Demo,0.0,,"Action, Indie",2010-05-06,59,2010
31800,Nancy Drew®: Danger by Design,32.99,BRL,Adventure,2009-10-10,70,2009
42890,Sword of the Stars: Complete Collection,35.99,BRL,Strategy,2010-06-04,75,2010
42900,Hearts of Iron III: Semper Fi,17.99,BRL,Strategy,2010-06-07,65,2010
42902,Hearts of Iron III Semper Fi: Dies Irae Götterdämmerung,3.99,BRL,Strategy,2011-05-10,65,2011
42910,Magicka,35.99,BRL,"Action, RPG",2011-01-25,74,2011
42920,The Kings' Crusade,35.99,BRL,Strategy,2010-10-08,71,2010
42950,Elven Legacy: Ranger,6.99,BRL,Strategy,2009-10-20,68,2009
42960,Victoria II,71.99,BRL,Strategy,2010-08-30,75,2010
42968,Victoria II: A House Divided,35.99,BRL,Strategy,2012-02-02,76,2012
42990,Sword of the Stars II: Enhanced Edition,71.99,BRL,Strategy,2012-11-30,65,2012
43000,Front Mission Evolved,18.45,BRL,Action,2010-10-07,63,2010
43190,The Haunted: Hells Reach,29.99,BRL,"Action, Indie",2011-10-24,51,2011
43500,M.U.D. TV,39.0,BRL,"Simulation, Strategy",2010-04-19,53,2010
43600,Nancy Drew®: Warnings at Waverly Academy,46.99,BRL,Adventure,2010-01-13,76,2010
44680,RACE Injection,25.99,BRL,Racing,2011-11-18,72,2011
44690,GT Legends,26.49,BRL,"Racing, Simulation, Sports",2012-11-28,84,2012
45300,Wings of Prey,32.99,BRL,Simulation,2010-01-08,78,2010
45310,Wings of Prey Demo,0.0,,Simulation,2010-01-14,78,2010
45410,Ignite,19.99,BRL,Racing,2011-10-28,59,2011
45450,Fortix 2,4.29,BRL,"Casual, Indie",2011-05-06,74,2011
45460,Fortix 2 Demo,0.0,,"Indie, Casual",2011-05-11,74,2011
45720,Lost Planet: Extreme Condition Colonies Edition,0.0,,"Action, Adventure",2010-02-11,70,2010
45740,Dead Rising® 2,22.25,BRL,"Action, Adventure",2010-09-27,78,2010
45750,Lost Planet® 2,0.0,,"Action, Adventure",2010-10-15,63,2010
45760,Ultra Street Fighter® IV,16.77,BRL,Action,2014-08-07,82,2014
45770,Dead Rising 2: Off the Record,22.25,BRL,"Action, Adventure",2011-10-11,66,2011
46000,Bob Came in Pieces,32.99,BRL,"Adventure, Indie",2010-01-22,73,2010
46010,Bob Came in Pieces Demo,0.0,,"Adventure, Indie",2010-01-22,73,2010
46290,Theatre of War,13.79,BRL,Strategy,2010-07-09,66,2010
46340,Theatre of War 2: Africa 1943,16.99,BRL,"Simulation, Strategy",2010-07-09,63,2010
46370,Rig n Roll,16.99,BRL,Simulation,2010-07-09,61,2010
46380,Reign: Conflict of Nations,13.79,BRL,Strategy,2010-07-12,60,2010
